shipper;tracking;ship date;state;zip;customer weight;weight;zone;Ground Commercial;Ground Residential;Ground Residential Third Party;Ground Commercial Third Party;residential surcharge;delivery area surcharge;Delivery Area Surcharge - Extended;fuel surcharge;total;freight rate;2nd Day Air Residential;Delivery Confirmation Signature;Declared Value;Delivery Confirmation Response;Returns Print and Mail Label;Residential Adjustment;Remote Area Surcharge;exception
M T L International;1Z091YW70392379364;2016/1/22;FL;33179;16;27;8;;;23.85;;3.25;;;1.42;28.52;;;;;;;;;
M T L International;1Z091YW70391716974;2016/1/22;NJ;8067;16;27;8;;;;23.85;;2.3;;1.37;27.52;;;;;;;;;
M T L International;1Z091YW70390184792;2016/1/22;MO;65802;17;30;6;;;;18.98;;;;1;19.98;;;;;;;;;
M T L International;1Z091YW70392803001;2016/1/22;MI;49321;7;7;8;;;10.72;;3.25;;;0.73;14.7;;;;;;;;;
M T L International;1Z091YW70397259832;2016/1/25;CA;95776;35;35;4;;;13.39;;3.25;;;0.87;17.51;;;;;;;;;
M T L International;1Z091YW70396817490;2016/1/25;UT;84015;17;30;4;;;12.86;;3.25;;;0.85;16.96;;;;;;;;;
M T L International;1Z091YW70396642982;2016/1/25;CA;93725;16;27;3;;;11.03;;3.25;;;0.75;15.03;;;;;;;;;
M T L International;1Z091YW70399390221;2016/1/25;AZ;85033;7;7;4;;;8.7;;3.25;;;0.63;12.58;;;;;;;;;
M T L International;1Z091YW70395844033;2016/1/25;CA;95212;7;7;3;;;7.75;;3.25;;;0.58;11.58;;;;;;;;;
M T L International;1Z091YW70390069416;2016/1/25;OH;44408;16;27;8;;;;23.85;;;;1.25;25.1;;;;;;;;;
M T L International;1Z091YW70390002835;2016/1/25;FL;33611;24;40;8;;;30.72;;3.25;;;1.78;35.75;;;;;;;;;
M T L International;1Z091YW70397639074;2016/1/25;TX;79905;6;15;5;;;9.91;;3.25;;;0.69;13.85;;;;;;;;;
M T L International;1Z091YW70395118069;2016/1/25;NE;69149;24;40;6;;;22.53;;3.25;;4;1.35;27.13;;;;;;;;;
M T L International;1Z091YW70395471114;2016/1/25;TX;75633;16;27;6;;;17.35;;3.25;;4;1.08;21.68;;;;;;;;;
M T L International;1Z091YW70399891001;2016/1/25;ID;83856;16;27;5;;;13.83;;3.25;;4;0.9;17.98;;;;;;;;;
M T L International;1Z091YW70398080059;2016/1/26;CA;95054;5;12;3;;;;8.42;;;;0.44;8.86;;;;;;;;;
M T L International;1Z091YW70398915086;2016/1/26;TX;76665;17;30;6;;;18.98;;3.25;;4;1.17;23.4;;;;;;;;;
M T L International;1Z091YW70397217690;2016/1/26;AZ;85066;16;27;4;;;;11.6;;;;0.61;12.21;;;;;;;;;
M T L International;1Z091YW70398574329;2016/1/27;AZ;85021;16;27;4;;;;11.6;;;;0.61;12.21;;;;;;;;;
M T L International;1Z091YW79094126611;2016/1/25;IN;47452;51;60;7;;;;;;;;0;0;;;;;;;;;
M T L International;1Z091YW70397482484;2016/1/19;CA;91761;0;6;6;;;;;;;;0;0;;;;;;;;;
M T L International;1Z091YW70398595637;2016/1/25;CA;91761;0;40;5;;;;;;;;0;0;;;;;;;;;
